Date,Title,Lehrstuhl,Description,Link
2022/12/09,Klausuren Wintersemester 2022/2023,Lehrstuhl für Global Governance and International Trade,"Liebe Studierende, die Termine für die Klausuren im Wintersemester 22/23 sind wie folgt: International Trade and Labor/Global Governance: 09.02.23/13:30-14:30h (LG H6) Issues in International Political Economy (IPE): 09.02.23/17:00-18:00h (LG H5) Internationale Politik I: 10.02.23/ 13:30-14:30h (LG H4 und zeitgleich LG H6) sowie vom Prüfungsamt organisiert: International Economics/Internationale Wirtschaft (während des...",https://www.gg.rw.fau.de/2022/12/09/klausuren-wintersemester-2022-2023/
2022/09/12,Anmeldung zu den Lehrveranstaltungen im WS 2022/2023 – Course Registration for the winter term 2022/2023,Lehrstuhl für Global Governance and International Trade,"Anmeldebeginn für die Lehrveranstaltungen im WS 2022/2023 ist am 27. September um 19.00 Uhr auf StudOn. The registration period for all courses in the winter term 2022/2023 starts on September 27 at 19.00h via StudOn. For further information, please have a look at: https://www.gg.rw.fau.de/lehre-studium/lehrveranstaltungen/wintersemester-2022-2023/ &#160;",https://www.gg.rw.fau.de/2022/09/12/anmeldung-zu-den-lehrveranstaltungen-im-ws-2022-2023-course-registration-for-the-winter-term-2022-2023/
2022/08/22,Einsichtnahme Klausuren Sommersemester 2022/ Exam review summer term 2022,Lehrstuhl für Global Governance and International Trade,"Liebe Studierende, am Mittwoch, den 2.11.2022, haben Sie ab 14 Uhr Gelegenheit zur Einsichtnahme Ihrer Klausuren zu Vorlesungen im SS 2022. Aufgrund der aktuellen Pandemielage gelten folgende Hinweise: Einsichtnahme nur nach verbindlicher Anmeldung bis spätestens 17 Uhr am Donnerstag, den 27.10.22, bei Hr. Maximilian Fleig: maximilian.fleig@fau.de. Sie bekommen spätestens am...",https://www.gg.rw.fau.de/2022/08/22/einsichtnahme-klausuren-sommersemester-2022-exam-review-summer-term-2022/
2018/09/21,Willkommen auf der Website des Lehrstuhls für Global Governance and International Trade,Lehrstuhl für Global Governance and International Trade,Zum 1. Oktober 2018 hat Prof. Dr. Christoph Moser die Leitung des Lehrstuhls unter der neuen Bezeichnung &#8222;Lehrstuhl für Global Governance&#8220; übernommen. Zum 13.07.2022 wurde die Denomination des Lehrstuhls für Global Governance in &#8222;Lehrstuhl für Global Governance and International Trade&#8220; geändert.,https://www.gg.rw.fau.de/2018/09/21/hallo-welt/
2023/01/09,09.01.2023 | Infoveranstaltung für MiGG am 30.01.2023,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Der Lehrstuhl für Gesundheitsmanagement und die beteiligten Lehrstühle laden Sie herzlich zur Informationsveranstaltung für den Masterstudiengang &#8222;Master in Gesundheitsmanagement und Gesundheitsökonomie (MiGG)&#8220; am Montag, 30. Januar 2023 von 11:00 bis 12:00 Uhr, ein. Die Veranstaltung findet online über Zoom statt, eine Anmeldung ist nicht erforderlich. Einwählen können Sie sich unter...",https://www.gm.rw.fau.de/2023/01/09/09-01-2023-infoveranstaltung-fuer-migg-am-30-01-2023/
2022/12/21,21.12.2022 | Weihnachtsvorlesung,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Nach einer Corona-bedingten Pause konnte heute endlich wieder die traditionelle Weihnachtsvorlesung in der letzten Vorlesungswoche des Jahres stattfinden. Bei Glühwein/-saft, Keksen, Schokolade, lustigen Mützen, Musik und Loriot konnten Studierende und Mitarbeiter des Lehrstuhls noch einmal zusammenkommen. Zentral war auch dieses Jahr wieder der Vortrag von Prof. Schöffski, dieses Jahr unter...",https://www.gm.rw.fau.de/2022/12/21/21-12-2022-weihnachtsvorlesung/
2022/12/21,21.12.2022 | Weihnachtsfeier des Lehrstuhls,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",Das Lehrstuhl-Team konnte diese Woche bei einem gemeinsamen Essen das vergangene Jahr ausklingen lassen Wir freuen uns schon jetzt auf viele gemeinsame Highlights im Jahr 2023.,https://www.gm.rw.fau.de/2022/12/21/21-12-2022-weihnachtsfeier-des-lehrstuhls/
2022/12/21,21.12.2022 | Herzlich Willkommen Julia Karch,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",Der Lehrstuhl für Gesundheitsmanagement freut sich Julia Karch im Team begrüßen zu dürfen. Julia studierte den Master in Gesundheitsmanagement und Ökonomie an der Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU). Vor ihrem Studium an der FAU studierte sie Pflege Dual mit integrierter Ausbildung in der Gesundheits- und Kinderkrankenpflege. Während des Studiums war sie als...,https://www.gm.rw.fau.de/2022/12/21/21-12-2022-herzlich-willkommen-julia-karch/
2022/11/28,28.11.2022 | Infoveranstaltung Masterarbeit am Lehrstuhl für Gesundheitsmanagement,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",Für Interessenten an einer Masterarbeit am Lehrstuhl für Gesundheitsmanagement möchten wir gerne auf eine Informationsveranstaltung hinweisen. Die Infoveranstaltung findet am 12.12.2022 um 09:45 – 11:15 Uhr im LG 0.141 statt. Neben einem Überblick über alle Voraussetzungen zur Anfertigung der Masterarbeit am Lehrstuhl wird es schwerpunktmäßig um den Ablauf der Themen-/Betreuungsfindung...,https://www.gm.rw.fau.de/2022/11/28/28-11-2022-infoveranstaltung-masterarbeit-am-lehrstuhl-fuer-gesundheitsmanagement/
2022/11/24,24.11.2022 | Klausurtermine für das Wintersemester 2022/23,"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement","Die Klausurtermine für das Wintersemester 2022/2023 finden Sie in der folgenden Übersicht. Modul Datum Uhrzeit Raum/Anmerkung MASTER Planspiel Mittwoch, 14. Dezember 2022 15:15-16:15 0.423 Medical Technology Management Mittwoch, 21. Dezember 2022 15:15-16:15 5.152 Nachholklausuren Donnerstag, 19. Januar 2023 Gesundheitsökonomische Evaluationen II Montag, 30. Januar 2023 15:15 H3 Praxisseminar Montag, 6....",https://www.gm.rw.fau.de/2022/11/24/24-11-2022-klausurtermine-fuer-das-wintersemester-2022-23/
